"ClaimNo","12","24","36","48","60","72","84","96","108","120"
"1",3446,3446,3446,3446,3446,3446,3446,3446,3446,3446
"2",,,889,1144,1144,1144,3735,3735,3735,3735
"3",2654,6449,9023,9136,9136,9136,14430,14430,14430,14430
"4",2407,2407,2407,2407,2407,2407,2407,2407,2407,2407
"5",3677,3677,3677,6968,6968,6968,6968,6968,6968,6968
"6",1823,1823,2306,20183,20183,20183,20183,20183,20183,20183
"7",,2900,2900,10987,10987,10987,10987,10987,10987,10987
"8",,,,,9803,15938,15938,15938,15938,15938
"9",3945,3945,3945,3945,3945,3945,3945,3945,3945,3945
"10",,,,,,,,19300,19300,23685
"11",,1689,1689,1689,5243,5243,5243,12349,12349,12349
"12",,9655,9655,12543,12543,12543,12543,12543,12543,12543
"13",2316,2316,2316,2316,2316,2316,2316,2316,2316,2316
"14",,,,926,926,926,926,926,926,926
"15",,,2836,2836,2836,2836,2836,2836,2836,2836
"16",,,4631,4631,4631,4631,4631,4631,4631,4631
"17",3805,3805,3805,3805,3805,3805,5637,11156,11156,11156
"18",2877,2877,2877,5135,5135,8588,8588,10523,10523,12168
"19",,2493,2493,2675,2675,2675,2675,2675,2675,2675
"20",,,,,4044,5384,5384,5384,5384,5384
"21",,,,821,821,821,821,821,821,821
"22",,3362,3362,3362,3362,3362,3362,3362,3362,3362
"23",,3625,3625,3625,3625,3625,3625,3625,3625,3625
"24",3487,8393,8393,8393,11866,11866,11866,11866,11866,11866
"25",,,,,,,6730,6730,9285,9285
"26",,,8461,8461,8461,8461,8461,8461,8461,8461
"27",,,4034,4034,4034,4034,4034,4034,4034,4034
"28",,,,,,,925,10224,10224,10224
"29",,,,,,6009,6009,6009,6009,6009
"30",3468,3468,7736,7736,7736,7736,7736,7736,7736,7736
"31",,4453,6357,6357,6357,6357,6357,6357,6357,9390
"32",4197,4197,4197,4197,4197,4197,4197,4197,4197,4197
"33",2337,2337,2337,7218,7218,7218,7218,7218,7218,7218
"34",2532,2532,2532,2532,2532,2532,2532,2532,2532,2532
"35",3356,3356,3356,3356,3356,3356,3356,3356,3356,3356
"36",,,2645,4165,4165,4165,4165,4165,4165,4165
"37",3386,3386,3386,3386,3386,3386,3386,3386,3386,3386
"38",,,504,504,504,504,504,504,504,504
"39",,,3792,3792,3792,3792,3792,3792,3792,3792
"40",,,4089,4089,11578,18114,18114,18114,18114,18114
"41",1972,1972,1972,1972,1972,1972,1972,1972,1972,1972
