,12,24,36,48,60,72,84,96,108,120
2001,357848,766940,610542,482940,527326,574398,146342,139950,227229,67948
2002,352118,884021,933894,1183289,445745,320996,527804,266172,425046,
2003,290507,1001799,926219,1016654,750816,146923,495992,280405,,
2004,310608,1108250,776189,1562400,272482,352053,206286,,,
2005,443160,693190,991983,769488,504851,470639,,,,
2006,396132,937085,847498,805037,705960,,,,,
2007,440832,847631,1131398,1063269,,,,,,
2008,359480,1061648,1443370,,,,,,,
2009,376686,986608,,,,,,,,
2010,344014,,,,,,,,,
